"test.property_id","Sub.price_predict"
"7818bfdb2515268f36f561cf",729928861.611734
"b431f95918341a3680fd120c",1846848945.48965
"528d66663acd45b08c6d7931",606660711.695238
"af7aede36ea1df2529081419",1062347641.36203
"ba8e68faaf298e1ede1e442d",580262979.755901
"f4e212abe62747bfa3de35ef",770036746.842424
"2ca934e229718147e9ab6a3f",628784153.454121
"5e1b61c197a444990f7c28bf",431194143.522377
"7a1b6e9e31ff08ac7536796c",816732752.093145
"3663c9471f8a74430e88c1e1",1541545341.4
"ea26e05193942a6f84f67119",644821732.719753
"e2e947bb30ec6c0c5032d62a",498413431.666667
"77753f92a23b9e4c674e8a5c",625176536.056391
"62114e47c50d55b7a6fe8db8",568116897.679562
"c7e1556610142166239ad229",673955990.691
"b2d57313159dfe4922321051",531116407.689524
"50d3e7164f1cb7cf14ad42a6",687078871.121143
"d940a0ebc88a1d011c08a177",655805152.134504
"738174a44a37ce206c11b673",2980091216.55238
"5d11d1d9a7d691ef06cf2d02",973500508.877568
"3d75132a17b8f2a6e106d79b",501649952.658989
"55f571e10bb645ad05ef63ef",585633758.70324
"d51be5dd9532f7371f80d40f",788689542.772481
"bfdb81e0983e2fbe4ea2309b",5444233495.54222
"1cb4f75b133d6b5791bbefb9",536074146.066997
"d1b4c48f7a56cabc7a5bb296",648507325.267669
"e7b9a0495e2dfcb85886ed10",727182394.730952
"e73d037bdfc51c63c239fdfd",862696097.425723
"f2239cb2a47682b1be66d980",807860656.637302
"f814be8e2b5c379c78ffae10",1446369055.4
"982c2a466d11bcc8346114a2",2609851883.33333
"474b51ac08abf21f3ff475c9",996168930.688268
"87c5d47cc17d257c73b5afcf",853686711.382585
"3e35c4ac2db4a997bbaed1b6",688101583.907449
"7e1d248cacce9e6cd3079928",1024152382.54057
"1fdc1048b9dbed3b7b08a1bf",1129082851.71805
"2ae07e129bfb332ba0c3d528",1393304991.86308
"37205f556a1bc9577de73859",2643614173.27502
"11c43d80ec84e1cc26e99238",697304266.182588
"0b3e15c44f9fc072225cb74d",740165602.758365
"845b79c93aaccc47677e3aca",459411812.752481
"0ed31e84c452fbf69c67337f",467994743.537322
"a12a424754868ba963183627",645585468.66
"78de96b96e968e65bbe60975",1130562112.89428
"38bb2c0629c4cf4f464b932a",949362723.776904
"181f1fb6e5ee9ad3cf04dc2c",1031302513.66358
"2f22b6c98ebe5a5c98621a62",940004295.162274
"462ee31769b1586af046b415",934459254.368832
"503cb88148fc7e3321dc4de3",3188794095.6
"06b476a86cb5f8a10b9f033f",371542179.889488
"e0f87404807ebaa6aac6638c",2035412500.86447
"33c07b3b85ef1f84b1edfb71",598703318.081334
"42acf7ed478c1529e3a77825",587552119.76658
"06908f422c25552f1940c18c",949834734.446328
"6c7ea98c6ff96e0b6fdc44c8",422800814.188017
"8dfc0c6c4edbb9b6537d2519",2034768366.66667
"22e85eb7096f34deb0356022",1666073445.5
"eda413381b20a758d438b912",2777946443.61905
"535718bd4066cd755b84c831",974773128.218347
"51924f045b8823fd497995a0",742298166.883117
"171325ca416f09be55a2792a",1133452461.15193
"031f7d217c047d52b1fc09d5",941940478.61039
"e7d92eda72a423e24d8940b1",797500950.452627
"d1617b91a63c9f279357a238",595891404.955859
"7efac86833c71d779b803e30",818668118.479467
"6e6af46fc38d57a87aafeea3",573197005.275003
"f5fb67b3d76fe4e83ba7cce4",551330828.134886
"5813d126f7beedf4ee1a8c35",423802203.291434
"2b6dcb451b52ce22e5f449e2",1477085130.87346
"96309e7ee0784e225bea5c52",683788857.916952
"f37978636bbffa029a36c211",597178414.256686
"b4169f654784f2b53e852295",823742379.499655
"0085dd3bb5a8392565849164",468362905.819448
"f4b6d0cb1c14750b4556c356",314782818.6605
"daf7f7258b1af23b84758317",667234476.182051
"e29a2ca3c613d3a8bb77396c",1203142546.8187
"6f9b3f208273f131f2ba9240",657303582.5476
"d868a89d2c7c77999a5b07be",328709828.827624
"e8459d39e0e3cb695e0e45a1",1541545341.4
"9ecd0cb9369c453a605334b0",2653374246.32684
"5ecf987f017d88a8e410e813",441411836.331157
"19122f6896bfe4db6c4e8ce2",1505671488.8246
"e0415b2ebc4f232549babc85",435202938.239727
"19782dfa7eee9720bea11eb0",1163650392.07793
"6d21e0f4741886cb985c7adf",776800407.8684
"789ba2f0fadb7d569bd617ae",1205902306.94014
"1692d121a78d7dab344eebaa",1043289792.67287
"152738e7d0391ee0e73cbbf2",1230095879.78731
"4722ae7d8a87cbb9671bc88f",357223431.64681
"e3788c8d05f789e44b49eeff",562817718.073746
"a94989a190522a617063d8ef",659608138.123778
"4b4a69c8b225c5ed127a3fa5",1003167604.89505
"c365f0aa4984272ab44d6dd6",1476193313.08627
"311993d40426c84a717d7b9a",1463589396.75533
"07dbccf9faac0885f0e15dfe",678569391.764644
"ff15aad7a4b82013c87d942c",1210362898.61903
"8c01a8a6b0f9d947df24c5a8",406179590.377698
"883e631be3edfd7b3cf34064",573130271.453681
"9c6807bb38ed13dfaedbd0a7",1157356979.89392
"0cf34eea3f9d14a773fcf33b",1190724064.42962
"a464436d97a050422a7a2cf2",1541545341.4
"567d469a7e037d9690264ac9",736221174.264007
"caa8887badd49db7d281b7b6",595997284.051341
"fd9501ed7d434e6080bf67b0",438683195.401099
"e5e0ac8f205a4b9f487091ce",1040683629.93247
"936859b1c113e62fe639a067",2482305289.8697
"37378491b5b208896c51e4ce",371172228.273347
"ff2635e778dbfc91c5f636ed",571983908.257173
"b9dbb6e3cbceaa5056b7cbf6",1308933538.44156
"7a43fa7c829109f467aff268",741543602.554408
"6e1f2fb27f3d7621af6f77e7",347100516.767732
"8eb1faa83383099423c1b955",382078310.129312
"d92f8a96644f5dba214b38f9",917632834.231746
"64b9eaf9387786d2f13cad2d",428952511.45766
"0971cec7cb5c797ae3aee274",621133062.420496
"f6566de922b0ce937322f3ae",369233369.012073
"0288be4b871116f37a550a08",659214534.888889
"228edc59bd8f946f538390d7",622992527.079365
"e0327d2d3eed7b59ba7e3773",738489252.464335
"2d04f2c17109ee4d77445d12",526224046.085714
"cc793fe5ca45358daff21232",1283445268.21447
"510ea78c1612f0dcbb0da515",1134580205.74762
"c5cc924c0d2bb4d642e7e3ca",1787058715.55556
"997815c771ebddbdbb1fead2",548080193.640156
"8c07a89c03c8e9dc7e614ca9",2907486933.33333
"873037424b571c60a362b578",384674964.230906
"9d4919e2476168092c06315c",1036458557.18212
"e10593fcbc51481c7682f2b5",1103028991.74734
"cf4a0ccc6b695bd9c4441b8c",605452917.162738
"e34cce7cd2bb52e4571bafd2",399614499.463196
"0a2327b8b35a405c22232bc1",1206050785.77882
"d272208c85896acf4f19a014",691771357.193448
"533101107b3e8eb887e73eae",1700700321.03606
"bab4c65dfeea2329552a2e7b",452472333.706914
"87906fec8a25c4565d7ec109",485663387.393535
"58ff626e4ce2477592eef879",438955888.785396
"ac90749aa2492fccbc76a3ea",632332732.55607
"646d57f39b86d6fc5d29d310",620521153.633333
"d252be4afd1f9e601f429e80",1763621836.66667
"7049290a387e3da5570f0701",539109162.656345
"88f1cb9a8a3c2b0e2977d958",276103477.555314
"d68622611685c7b4373032f2",2441537589.14286
"3dad519542273a1caddd30d3",1181911772.473
"f1836c854526e70ee335e516",548711619.255069
"8ef9b43e058c0fa5521ba2a4",879860034.664726
"edc502dd96c88bfed31e1b32",883221865.325273
"0a1957b62a00491d7860ab1a",634514070.729658
"b5355061ee707650f1a85770",691771357.193448
"78e3c06dc7c539d06fe87208",604931470.380952
"484fe0ba4f2faeda0ddc817c",753290433.2512
"abd83c4791fe8e43315d25c7",438044619.163683
"dbd095623f390b126442fe35",1215720179.77094
"73aed5bcc5fef01c18a4ffaa",1541545341.4
"8262f928e7b5678ade754e97",363487933.426217
"40a9d95eed1772b819a552f6",1160730848.91883
"3790abeddeae1af6c9312ed6",1445390351.3355
"ec053cf4390f934eee7b4bc2",1070516356.3541
"aa7d53e8e8ff541714d4fb6a",688685535.542209
"d7c5b8e623eb641c62d8dc31",247008815.023421
"083df57dadc0a41bd620dd4e",596147509.918222
"2afbc2540fda1f9f15c11b8d",1406018265.16017
"bf6028a0a49c4573355828da",1096964163.7134
"1732591cd88efeee4fc74c5d",838203059.64262
"a41a8397f17be20774f2b50f",433128015.707138
"8b9539b525a79d83f08bbea0",760785913.380952
